Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2024-08-12,sierra-gold,8431,,6.2.4,3:40,0:39,1.5,0.177273,SG_2024_Metrics.csv
2024-08-12,sierra-gold,8432,,6.2.4,5:01,0:00,0,0,SG_2024_Metrics.csv
2024-08-12,sierra-gold,8433,,5.9.6,4:37,0:06,0.2,0.021661,SG_2024_Metrics.csv
2024-08-13,sierra-gold,8431,,6.2.4,8:09,1:46,3.5,0.216769,SG_2024_Metrics.csv
2024-08-13,sierra-gold,8433,,6.2.4,8:12,1:24,3.1,0.170732,SG_2024_Metrics.csv
2024-08-14,sierra-gold,8431,,6.2.4,8:47,2:59,6.6,0.339658,SG_2024_Metrics.csv
2024-08-14,sierra-gold,8432,,6.2.4,3:48,1:15,2.8,0.328947,SG_2024_Metrics.csv
2024-08-14,sierra-gold,8433,,6.2.4,6:05,1:31,3.2,0.249315,SG_2024_Metrics.csv
2024-08-15,sierra-gold,8431,,6.3.2,8:53,2:03,4.7,0.230769,SG_2024_Metrics.csv
2024-08-15,sierra-gold,8432,,6.2.4,8:53,3:16,7.6,0.36773,SG_2024_Metrics.csv
2024-08-15,sierra-gold,8433,,6.2.4,7:34,1:21,3,0.178414,SG_2024_Metrics.csv
2024-08-16,sierra-gold,8433,,6.2.4,2:27,0:54,2.1,0.367347,SG_2024_Metrics.csv
2024-08-17,sierra-gold,8433,,6.2.4,0:49,0:34,1.2,0.693878,SG_2024_Metrics.csv
2024-08-19,sierra-gold,8431,,6.3.2,8:26,2:26,5.7,0.288538,SG_2024_Metrics.csv
2024-08-19,sierra-gold,8432,,6.2.4,8:28,2:35,6.2,0.305118,SG_2024_Metrics.csv
2024-08-19,sierra-gold,8433,,6.2.4,8:25,1:52,4.3,0.221782,SG_2024_Metrics.csv
2024-08-20,sierra-gold,8431,,6.3.2,8:35,1:45,3.8,0.203883,SG_2024_Metrics.csv
2024-08-20,sierra-gold,8432,,6.2.4,8:34,1:26,3.3,0.167315,SG_2024_Metrics.csv
2024-08-20,sierra-gold,8433,,6.2.4,8:35,0:58,2.1,0.112621,SG_2024_Metrics.csv
2024-08-21,sierra-gold,8431,,6.3.2,7:43,2:07,4.5,0.274298,SG_2024_Metrics.csv
2024-08-21,sierra-gold,8432,,6.2.4,9:02,2:57,6.7,0.326568,SG_2024_Metrics.csv
2024-08-21,sierra-gold,8433,,6.2.4,7:42,2:00,4.5,0.25974,SG_2024_Metrics.csv
2024-08-22,sierra-gold,8431,,6.3.2,8:46,2:10,5,0.247148,SG_2024_Metrics.csv
2024-08-22,sierra-gold,8432,,6.2.4,7:56,1:58,4.7,0.247899,SG_2024_Metrics.csv
2024-08-22,sierra-gold,8433,,6.2.4,8:15,2:18,5.5,0.278788,SG_2024_Metrics.csv
2024-08-23,sierra-gold,8431,,6.2.4,8:21,3:09,7.6,0.377246,SG_2024_Metrics.csv
2024-08-23,sierra-gold,8432,,6.2.4,8:21,3:08,7.4,0.37525,SG_2024_Metrics.csv
2024-08-23,sierra-gold,8433,,6.2.4,8:21,3:15,7.7,0.389222,SG_2024_Metrics.csv
2024-08-26,sierra-gold,8431,,6.2.4,8:27,3:25,8.2,0.404339,SG_2024_Metrics.csv
2024-08-26,sierra-gold,8432,,6.2.4,8:21,2:58,7.2,0.355289,SG_2024_Metrics.csv
2024-08-26,sierra-gold,8433,,6.2.4,8:20,3:28,8.2,0.416,SG_2024_Metrics.csv
2024-08-27,sierra-gold,8431,,6.3.2,8:37,3:39,8.7,0.423598,SG_2024_Metrics.csv
2024-08-27,sierra-gold,8432,,6.3.2,8:40,3:33,8.4,0.409615,SG_2024_Metrics.csv
2024-08-27,sierra-gold,8433,,6.3.2,8:53,3:51,8.9,0.433396,SG_2024_Metrics.csv
2024-08-28,sierra-gold,8431,,6.3.2,7:53,3:01,7.2,0.382664,SG_2024_Metrics.csv
2024-08-28,sierra-gold,8432,,6.3.2,7:53,2:50,7.1,0.359408,SG_2024_Metrics.csv
2024-08-28,sierra-gold,8433,,6.3.2,8:24,2:49,6.9,0.335317,SG_2024_Metrics.csv
2024-08-29,sierra-gold,8431,,6.3.2,9:15,4:04,9.9,0.43964,SG_2024_Metrics.csv
2024-08-29,sierra-gold,8432,,6.3.2,8:31,3:37,9,0.424658,SG_2024_Metrics.csv
2024-08-29,sierra-gold,8433,,6.3.2,0:38,0:00,0,0,SG_2024_Metrics.csv
2024-08-30,sierra-gold,8431,,6.3.2,8:24,2:26,5.6,0.289683,SG_2024_Metrics.csv
2024-08-30,sierra-gold,8432,,6.3.2,8:13,2:46,6.6,0.336714,SG_2024_Metrics.csv
2024-08-30,sierra-gold,8433,,6.3.2,4:26,0:56,2.2,0.210526,SG_2024_Metrics.csv
2024-09-02,sierra-gold,8432,,6.3.2,0:36,0:14,0.5,0.388889,SG_2024_Metrics.csv
2024-09-03,sierra-gold,8431,,6.3.2,8:25,2:21,5.8,0.279208,SG_2024_Metrics.csv
2024-09-03,sierra-gold,8432,,6.3.2,8:21,3:05,7.7,0.369261,SG_2024_Metrics.csv
2024-09-03,sierra-gold,8433,,6.3.2,8:25,2:39,6.5,0.314851,SG_2024_Metrics.csv
2024-09-04,sierra-gold,8431,,6.3.2,6:39,2:26,5.8,0.365915,SG_2024_Metrics.csv
2024-09-04,sierra-gold,8432,,6.3.2,5:51,2:12,5.3,0.376068,SG_2024_Metrics.csv
2024-09-04,sierra-gold,8433,,6.3.2,5:47,2:17,5.5,0.394813,SG_2024_Metrics.csv
2024-09-05,sierra-gold,8431,,6.3.2,5:39,1:26,3.1,0.253687,SG_2024_Metrics.csv
2024-09-05,sierra-gold,8432,,6.3.2,5:45,1:38,3.7,0.284058,SG_2024_Metrics.csv
2024-09-05,sierra-gold,8433,,6.3.2,5:50,1:32,3.3,0.262857,SG_2024_Metrics.csv
2024-09-06,sierra-gold,8431,,6.3.2,5:43,1:46,3.9,0.309038,SG_2024_Metrics.csv
2024-09-06,sierra-gold,8432,,6.3.2,5:47,1:42,3.8,0.293948,SG_2024_Metrics.csv
2024-09-06,sierra-gold,8433,,6.3.2,5:47,1:45,3.8,0.302594,SG_2024_Metrics.csv
2024-09-09,sierra-gold,8431,,6.3.3,6:58,2:05,5,0.299043,SG_2024_Metrics.csv
2024-09-09,sierra-gold,8432,,6.3.3,7:11,2:11,5.2,0.303944,SG_2024_Metrics.csv
2024-09-09,sierra-gold,8433,,6.3.3,6:58,2:16,5.4,0.325359,SG_2024_Metrics.csv
2024-09-10,sierra-gold,8431,,6.3.3,7:23,2:47,7,0.376975,SG_2024_Metrics.csv
2024-09-10,sierra-gold,8432,,6.3.3,7:23,2:31,6.3,0.340858,SG_2024_Metrics.csv
2024-09-10,sierra-gold,8433,,6.3.3,7:22,2:29,6.2,0.337104,SG_2024_Metrics.csv
2024-09-11,sierra-gold,8431,,6.3.3,8:26,3:13,7.9,0.381423,SG_2024_Metrics.csv
2024-09-11,sierra-gold,8432,,6.3.3,8:26,3:14,8.1,0.383399,SG_2024_Metrics.csv
2024-09-11,sierra-gold,8433,,6.3.3,8:26,3:15,8.2,0.385375,SG_2024_Metrics.csv
2024-09-12,sierra-gold,8431,,6.3.3,6:59,2:20,5.9,0.334129,SG_2024_Metrics.csv
2024-09-12,sierra-gold,8432,,6.3.3,6:20,2:14,5.6,0.352632,SG_2024_Metrics.csv
2024-09-12,sierra-gold,8433,,6.3.3,6:55,2:37,6.5,0.378313,SG_2024_Metrics.csv
2024-09-13,sierra-gold,8431,,6.3.3,4:41,2:02,5.1,0.434164,SG_2024_Metrics.csv
2024-09-13,sierra-gold,8432,,6.3.3,7:54,3:24,8.5,0.43038,SG_2024_Metrics.csv
2024-09-13,sierra-gold,8433,,6.3.3,8:33,3:50,9.6,0.448343,SG_2024_Metrics.csv
2024-09-16,sierra-gold,8431,,6.3.3,7:41,3:37,9.1,0.470716,SG_2024_Metrics.csv
2024-09-16,sierra-gold,8432,,6.5.3,7:07,3:08,7.9,0.440281,SG_2024_Metrics.csv
2024-09-16,sierra-gold,8433,,6.3.3,7:30,3:24,8.5,0.453333,SG_2024_Metrics.csv
2024-09-17,sierra-gold,8431,,6.3.3,7:36,1:05,2.6,0.142544,SG_2024_Metrics.csv
2024-09-17,sierra-gold,8432,,6.5.3,8:26,1:03,2.5,0.124506,SG_2024_Metrics.csv
2024-09-17,sierra-gold,8433,,6.5.3,7:40,0:55,2.2,0.119565,SG_2024_Metrics.csv
2024-09-18,sierra-gold,8431,,6.5.3,8:29,3:02,7,0.357564,SG_2024_Metrics.csv
2024-09-18,sierra-gold,8432,,6.5.3,8:10,3:09,7.5,0.385714,SG_2024_Metrics.csv
2024-09-18,sierra-gold,8433,,6.5.3,5:01,1:31,3.3,0.302326,SG_2024_Metrics.csv
2024-09-19,sierra-gold,8431,,6.5.3,7:43,2:39,6.4,0.343413,SG_2024_Metrics.csv
2024-09-19,sierra-gold,8432,,6.5.3,8:24,2:48,6.7,0.333333,SG_2024_Metrics.csv
2024-09-19,sierra-gold,8433,,6.5.3,8:15,2:45,6.5,0.333333,SG_2024_Metrics.csv
2024-09-20,sierra-gold,8431,,6.5.3,3:33,0:28,1,0.131455,SG_2024_Metrics.csv
2024-09-20,sierra-gold,8432,,6.5.3,8:21,3:28,8,0.41517,SG_2024_Metrics.csv
2024-09-20,sierra-gold,8433,,6.5.3,9:06,3:22,7.6,0.369963,SG_2024_Metrics.csv
2024-09-23,sierra-gold,8431,,6.5.3,8:36,3:04,7,0.356589,SG_2024_Metrics.csv
2024-09-23,sierra-gold,8432,,6.5.3,8:33,3:05,7.2,0.360624,SG_2024_Metrics.csv
2024-09-23,sierra-gold,8433,,6.5.3,8:25,3:06,7,0.368317,SG_2024_Metrics.csv
2024-09-24,sierra-gold,8431,,6.5.3,7:30,2:28,6.2,0.328889,SG_2024_Metrics.csv
2024-09-24,sierra-gold,8432,,6.5.3,8:33,3:29,8.8,0.407407,SG_2024_Metrics.csv
2024-09-24,sierra-gold,8433,,6.5.3,4:40,1:29,3.6,0.317857,SG_2024_Metrics.csv
2024-09-25,sierra-gold,8431,,6.5.3,7:34,3:17,8.5,0.433921,SG_2024_Metrics.csv
2024-09-25,sierra-gold,8432,,6.5.3,7:34,3:47,9.7,0.5,SG_2024_Metrics.csv
2024-09-26,sierra-gold,8431,,6.5.3,8:26,2:14,5.8,0.264822,SG_2024_Metrics.csv
2024-09-26,sierra-gold,8432,,6.5.3,8:28,2:58,7.9,0.350394,SG_2024_Metrics.csv
2024-09-27,sierra-gold,8431,,6.5.3,8:19,1:06,2.4,0.132265,SG_2024_Metrics.csv
2024-09-27,sierra-gold,8432,,6.5.3,8:16,1:17,3,0.155242,SG_2024_Metrics.csv
2024-09-30,sierra-gold,8431,,6.5.3,8:10,0:50,2.2,0.102041,SG_2024_Metrics.csv
2024-09-30,sierra-gold,8432,,6.5.3,8:00,0:59,2.6,0.122917,SG_2024_Metrics.csv
2024-10-03,sierra-gold,8431,,6.5.3,3:32,1:16,3.3,0.358491,SG_2024_Metrics.csv
2024-10-03,sierra-gold,8432,,6.5.3,3:35,1:13,3.2,0.339535,SG_2024_Metrics.csv
2024-10-03,sierra-gold,8433,,6.5.3,0:28,0:00,0,0,SG_2024_Metrics.csv
2024-10-04,sierra-gold,8431,,6.6.4,8:16,1:32,4,0.185484,SG_2024_Metrics.csv
2024-10-04,sierra-gold,8432,,6.5.3,8:16,1:52,4.1,0.225806,SG_2024_Metrics.csv
2024-10-04,sierra-gold,8433,,6.5.3,1:01,0:01,0,0.016393,SG_2024_Metrics.csv
2024-10-07,sierra-gold,8431,,6.6.4,6:58,1:35,4,0.227273,SG_2024_Metrics.csv
2024-10-07,sierra-gold,8432,,6.6.4,6:53,1:35,3.9,0.230024,SG_2024_Metrics.csv
2024-10-07,sierra-gold,8433,,6.5.3,1:36,0:04,0.1,0.041667,SG_2024_Metrics.csv
2024-10-08,sierra-gold,8431,,6.6.4,7:54,2:16,5.4,0.28692,SG_2024_Metrics.csv
2024-10-08,sierra-gold,8432,,6.6.4,7:54,1:49,4.9,0.229958,SG_2024_Metrics.csv
2024-10-08,sierra-gold,8433,,6.6.4,7:33,2:08,5.3,0.282561,SG_2024_Metrics.csv
2024-10-09,sierra-gold,8431,,6.6.4,8:17,2:28,5.9,0.297787,SG_2024_Metrics.csv
2024-10-09,sierra-gold,8432,,6.6.4,8:17,2:10,6,0.261569,SG_2024_Metrics.csv
2024-10-09,sierra-gold,8433,,6.6.4,8:09,2:09,5.9,0.263804,SG_2024_Metrics.csv
2024-10-10,sierra-gold,8431,,6.6.4,8:33,3:38,8.5,0.424951,SG_2024_Metrics.csv
2024-10-10,sierra-gold,8432,,6.6.4,8:36,2:52,8.8,0.333333,SG_2024_Metrics.csv
2024-10-10,sierra-gold,8433,,6.6.4,8:37,3:10,9,0.367505,SG_2024_Metrics.csv
2024-10-11,sierra-gold,8431,,6.6.4,8:38,2:00,4.6,0.23166,SG_2024_Metrics.csv
2024-10-11,sierra-gold,8432,,6.6.4,8:39,1:31,4.4,0.175337,SG_2024_Metrics.csv
2024-10-11,sierra-gold,8433,,6.6.4,8:38,1:34,4.2,0.181467,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8431,,6.6.4,8:17,2:01,5.3,0.243461,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8432,,6.6.4,8:16,2:00,5.3,0.241935,SG_2024_Metrics.csv
2024-10-14,sierra-gold,8433,,6.6.4,8:16,2:09,5.3,0.260081,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8431,,6.6.4,8:26,2:05,5.4,0.247036,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8432,,6.6.4,8:15,2:01,5.3,0.244444,SG_2024_Metrics.csv
2024-10-15,sierra-gold,8433,,6.6.4,8:14,1:56,4.9,0.234818,SG_2024_Metrics.csv
2024-10-16,sierra-gold,8431,,6.6.4,8:11,1:46,4.5,0.215886,SG_2024_Metrics.csv
