Item,Date,Location,Robot,Version,Miles,OnHours,MotionHours,Utilization,Source
,2024-08-12,sierra-gold,8431,6.2.4,1.5,3.666667,0.65,0.177273,SG_2024_Metrics.csv
,2024-08-12,sierra-gold,8432,6.2.4,0,5.016667,0,0,SG_2024_Metrics.csv
,2024-08-12,sierra-gold,8433,5.9.6,0.2,4.616667,0.1,0.021661,SG_2024_Metrics.csv
,2024-08-13,sierra-gold,8431,6.2.4,3.5,8.15,1.766667,0.216769,SG_2024_Metrics.csv
,2024-08-13,sierra-gold,8433,6.2.4,3.1,8.2,1.4,0.170732,SG_2024_Metrics.csv
,2024-08-14,sierra-gold,8431,6.2.4,6.6,8.783333,2.983333,0.339658,SG_2024_Metrics.csv
,2024-08-14,sierra-gold,8432,6.2.4,2.8,3.8,1.25,0.328947,SG_2024_Metrics.csv
,2024-08-14,sierra-gold,8433,6.2.4,3.2,6.083333,1.516667,0.249315,SG_2024_Metrics.csv
,2024-08-15,sierra-gold,8431,6.3.2,4.7,8.883333,2.05,0.230769,SG_2024_Metrics.csv
,2024-08-15,sierra-gold,8432,6.2.4,7.6,8.883333,3.266667,0.36773,SG_2024_Metrics.csv
,2024-08-15,sierra-gold,8433,6.2.4,3,7.566667,1.35,0.178414,SG_2024_Metrics.csv
,2024-08-16,sierra-gold,8433,6.2.4,2.1,2.45,0.9,0.367347,SG_2024_Metrics.csv
,2024-08-17,sierra-gold,8433,6.2.4,1.2,0.816667,0.566667,0.693878,SG_2024_Metrics.csv
,2024-08-19,sierra-gold,8431,6.3.2,5.7,8.433333,2.433333,0.288538,SG_2024_Metrics.csv
,2024-08-19,sierra-gold,8432,6.2.4,6.2,8.466667,2.583333,0.305118,SG_2024_Metrics.csv
,2024-08-19,sierra-gold,8433,6.2.4,4.3,8.416667,1.866667,0.221782,SG_2024_Metrics.csv
,2024-08-20,sierra-gold,8431,6.3.2,3.8,8.583333,1.75,0.203883,SG_2024_Metrics.csv
,2024-08-20,sierra-gold,8432,6.2.4,3.3,8.566667,1.433333,0.167315,SG_2024_Metrics.csv
,2024-08-20,sierra-gold,8433,6.2.4,2.1,8.583333,0.966667,0.112621,SG_2024_Metrics.csv
,2024-08-21,sierra-gold,8431,6.3.2,4.5,7.716667,2.116667,0.274298,SG_2024_Metrics.csv
,2024-08-21,sierra-gold,8432,6.2.4,6.7,9.033333,2.95,0.326568,SG_2024_Metrics.csv
,2024-08-21,sierra-gold,8433,6.2.4,4.5,7.7,2,0.25974,SG_2024_Metrics.csv
,2024-08-22,sierra-gold,8431,6.3.2,5,8.766667,2.166667,0.247148,SG_2024_Metrics.csv
,2024-08-22,sierra-gold,8432,6.2.4,4.7,7.933333,1.966667,0.247899,SG_2024_Metrics.csv
,2024-08-22,sierra-gold,8433,6.2.4,5.5,8.25,2.3,0.278788,SG_2024_Metrics.csv
