Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2026-07-01,sierra-gold,8431,123267,,8:03,1:55,6.5,0.238095,Sierra Gold.csv
2026-07-01,sierra-gold,8432,123268,,8:21,1:53,6.4,0.225549,Sierra Gold.csv
2026-07-01,sierra-gold,8433,123326,,3:04,0:08,0.4,0.043478,Sierra Gold.csv
2026-07-01,sierra-gold,8472,123261,,8:30,1:21,2.9,0.158824,Sierra Gold.csv
2026-07-01,sierra-gold,8475,123262,,8:09,1:19,3,0.161554,Sierra Gold.csv
2026-07-01,sierra-gold,8480,123263,,8:32,1:12,2.7,0.140625,Sierra Gold.csv
2026-07-01,sierra-gold,8631,123272,,7:49,1:36,5.4,0.204691,Sierra Gold.csv
2026-07-01,sierra-gold,8632,123275,,7:36,0:09,0.3,0.019737,Sierra Gold.csv
2026-07-01,sierra-gold,8633,123264,,8:07,0:41,1.4,0.084189,Sierra Gold.csv
2026-07-02,sierra-gold,8431,123479,,8:02,1:56,6.4,0.240664,Sierra Gold.csv
2026-07-02,sierra-gold,8432,123480,,7:51,1:38,5.6,0.208068,Sierra Gold.csv
2026-07-02,sierra-gold,8433,123507,,6:25,0:11,0.3,0.028571,Sierra Gold.csv
2026-07-02,sierra-gold,8472,123458,,8:38,1:34,4.2,0.181467,Sierra Gold.csv
2026-07-02,sierra-gold,8475,123459,,8:40,1:36,4.6,0.184615,Sierra Gold.csv
2026-07-02,sierra-gold,8480,123460,,8:40,1:38,4.3,0.188462,Sierra Gold.csv
2026-07-02,sierra-gold,8631,123483,,8:21,1:52,6.3,0.223553,Sierra Gold.csv
2026-07-02,sierra-gold,8632,123472,,2:47,0:19,0.9,0.113772,Sierra Gold.csv
2026-07-02,sierra-gold,8633,123462,,8:42,1:24,3.4,0.16092,Sierra Gold.csv
2026-07-06,sierra-gold,8431,123834,,8:21,1:52,6.3,0.223553,Sierra Gold.csv
2026-07-06,sierra-gold,8432,123835,,8:10,1:38,5.4,0.2,Sierra Gold.csv
2026-07-06,sierra-gold,8433,123836,,8:10,0:28,1,0.057143,Sierra Gold.csv
2026-07-06,sierra-gold,8472,123820,,8:39,2:11,6.3,0.252408,Sierra Gold.csv
2026-07-06,sierra-gold,8475,123821,,8:39,2:21,6.7,0.271676,Sierra Gold.csv
2026-07-06,sierra-gold,8480,123822,,8:33,2:08,5.9,0.249513,Sierra Gold.csv
2026-07-06,sierra-gold,8631,123823,,8:34,1:21,4.4,0.157588,Sierra Gold.csv
2026-07-06,sierra-gold,8632,123824,,7:31,0:25,1,0.055432,Sierra Gold.csv
2026-07-06,sierra-gold,8633,123825,,8:34,2:00,5,0.233463,Sierra Gold.csv
2026-07-07,sierra-gold,8431,124022,,8:13,1:39,5.3,0.200811,Sierra Gold.csv
2026-07-07,sierra-gold,8432,124023,,8:21,1:34,5.2,0.187625,Sierra Gold.csv
2026-07-07,sierra-gold,8433,124024,,7:18,0:37,1.4,0.084475,Sierra Gold.csv
2026-07-07,sierra-gold,8472,124004,,8:32,2:04,6.2,0.242188,Sierra Gold.csv
2026-07-07,sierra-gold,8475,124005,,8:37,2:21,7.1,0.272727,Sierra Gold.csv
2026-07-07,sierra-gold,8480,124006,,8:37,1:48,5.2,0.208897,Sierra Gold.csv
2026-07-07,sierra-gold,8631,124008,,8:38,1:36,5.3,0.185328,Sierra Gold.csv
2026-07-07,sierra-gold,8632,124011,,8:19,1:58,6,0.236473,Sierra Gold.csv
2026-07-07,sierra-gold,8633,124012,,8:17,0:32,1.1,0.064386,Sierra Gold.csv
2026-07-08,sierra-gold,8431,124219,,8:04,1:29,4.8,0.183884,Sierra Gold.csv
2026-07-08,sierra-gold,8432,124220,,8:09,1:38,5.6,0.200409,Sierra Gold.csv
2026-07-08,sierra-gold,8433,124302,,0:27,0:01,0,0.037037,Sierra Gold.csv
2026-07-08,sierra-gold,8472,124195,,8:29,2:00,5.1,0.235756,Sierra Gold.csv
2026-07-08,sierra-gold,8475,124196,,8:30,2:14,5.8,0.262745,Sierra Gold.csv
2026-07-08,sierra-gold,8480,124197,,8:44,2:17,6.2,0.26145,Sierra Gold.csv
2026-07-08,sierra-gold,8631,124198,,8:39,1:33,5.3,0.179191,Sierra Gold.csv
2026-07-08,sierra-gold,8632,124211,,8:33,1:52,4.8,0.218324,Sierra Gold.csv
2026-07-08,sierra-gold,8633,124228,,7:32,1:18,3.1,0.172566,Sierra Gold.csv
2026-07-09,sierra-gold,8431,124413,,5:52,1:01,3.2,0.173295,Sierra Gold.csv
2026-07-09,sierra-gold,8432,124414,,5:52,1:07,3.7,0.190341,Sierra Gold.csv
2026-07-09,sierra-gold,8433,124405,,6:02,1:40,4,0.276243,Sierra Gold.csv
2026-07-09,sierra-gold,8472,124393,,6:12,1:47,4.8,0.287634,Sierra Gold.csv
2026-07-09,sierra-gold,8475,124394,,6:12,2:03,5.8,0.330645,Sierra Gold.csv
2026-07-09,sierra-gold,8480,124395,,6:09,1:45,4.8,0.284553,Sierra Gold.csv
2026-07-09,sierra-gold,8631,124396,,6:11,0:57,3.1,0.153639,Sierra Gold.csv
2026-07-09,sierra-gold,8632,124397,,6:08,1:43,4.6,0.279891,Sierra Gold.csv
2026-07-09,sierra-gold,8633,124418,,5:51,1:56,4.3,0.330484,Sierra Gold.csv
