Date,Location,Robot,Item,Version,Robot Time On During Day,Robot Time In Motion During Day,Miles Traveled during day,Utilization,Source
2026-04-30,sierra-gold,8431,114281,,11:02,1:43,4.3,0.155589,Sierra Gold.csv
2026-04-30,sierra-gold,8432,114282,,10:05,1:22,3.6,0.135537,Sierra Gold.csv
2026-04-30,sierra-gold,8432,114282,,12:05,1:22,3.6,0.113103,Sierra Gold.csv
2026-04-30,sierra-gold,8432,114282,,14:05,1:22,3.6,0.097041,Sierra Gold.csv
2026-04-30,sierra-gold,8432,114282,,14:34,1:22,3.6,0.093822,Sierra Gold.csv
2026-04-30,sierra-gold,8433,114337,,7:50,0:09,0.3,0.019149,Sierra Gold.csv
2026-04-30,sierra-gold,8472,114278,,11:21,1:13,2.7,0.107195,Sierra Gold.csv
2026-04-30,sierra-gold,8472,114278,,11:45,1:13,2.7,0.103546,Sierra Gold.csv
2026-04-30,sierra-gold,8475,114279,,11:23,1:47,4,0.156662,Sierra Gold.csv
2026-04-30,sierra-gold,8480,114280,,11:20,1:20,2.9,0.117647,Sierra Gold.csv
2026-04-30,sierra-gold,8631,114345,,8:38,0:08,0.3,0.015444,Sierra Gold.csv
2026-04-30,sierra-gold,8631,114345,,11:54,0:08,0.3,0.011204,Sierra Gold.csv
2026-04-30,sierra-gold,8631,114345,,12:54,0:08,0.3,0.010336,Sierra Gold.csv
2026-04-30,sierra-gold,8632,114284,,11:11,2:23,3.9,0.213115,Sierra Gold.csv
2026-04-30,sierra-gold,8633,114376,,2:33,0:03,0.1,0.019608,Sierra Gold.csv
2026-04-30,sierra-gold,8633,114376,,3:33,0:03,0.1,0.014085,Sierra Gold.csv
2026-06-23,sierra-gold,8431,122058,,17:30,1:20,3.2,0.07619,Sierra Gold.csv
2026-06-23,sierra-gold,8432,122059,,10:41,1:23,3.5,0.129485,Sierra Gold.csv
2026-06-23,sierra-gold,8433,122049,,8:24,0:48,2.1,0.095238,Sierra Gold.csv
2026-06-23,sierra-gold,8472,122050,,8:31,1:55,4.8,0.225049,Sierra Gold.csv
2026-06-23,sierra-gold,8475,122051,,8:33,2:22,6.2,0.276803,Sierra Gold.csv
2026-06-23,sierra-gold,8480,122052,,8:45,2:04,5.1,0.23619,Sierra Gold.csv
2026-06-23,sierra-gold,8631,122053,,8:09,1:04,2.5,0.130879,Sierra Gold.csv
