Item,Date,Location,Robot,Miles Traveled during day,Robot Time On During Day,Robot Time In Motion During Day
131695,"August 25, 2026",sierra-gold,8431,0.4,1:21,0:13
131696,"August 25, 2026",sierra-gold,8432,0.5,1:21,0:15
131700,"August 25, 2026",sierra-gold,8433,0.9,1:15,0:20
131685,"August 25, 2026",sierra-gold,8472,1.5,1:36,0:31
131686,"August 25, 2026",sierra-gold,8475,1.7,1:35,0:33
131687,"August 25, 2026",sierra-gold,8480,1.1,1:35,0:23
131702,"August 25, 2026",sierra-gold,8631,0.5,1:15,0:12
131697,"August 25, 2026",sierra-gold,8632,0.2,1:20,0:04
131703,"August 25, 2026",sierra-gold,8633,0.0,1:14,0:01
131504,"August 24, 2026",sierra-gold,8431,4.3,8:15,1:31
131505,"August 24, 2026",sierra-gold,8432,1.7,7:39,0:33
131532,"August 24, 2026",sierra-gold,8433,0.4,6:17,0:11
131497,"August 24, 2026",sierra-gold,8472,5.5,8:24,2:02
131498,"August 24, 2026",sierra-gold,8475,0.1,8:21,0:04
131499,"August 24, 2026",sierra-gold,8480,5.2,8:19,1:50
131501,"August 24, 2026",sierra-gold,8631,5.2,8:15,1:53
131506,"August 24, 2026",sierra-gold,8632,4.1,7:59,1:26
131207,"August 21, 2026",sierra-gold,8431,5.5,7:58,1:41
131208,"August 21, 2026",sierra-gold,8432,5.8,8:05,1:45
131200,"August 21, 2026",sierra-gold,8433,3.6,6:24,1:33
131201,"August 21, 2026",sierra-gold,8472,4.7,8:26,1:47
131202,"August 21, 2026",sierra-gold,8475,4.1,6:21,1:28
131203,"August 21, 2026",sierra-gold,8480,4.4,8:30,1:39
131204,"August 21, 2026",sierra-gold,8631,3.3,6:22,1:16
131215,"August 21, 2026",sierra-gold,8632,6.2,8:11,1:51
131205,"August 21, 2026",sierra-gold,8633,4.4,8:27,1:39
131013,"August 20, 2026",sierra-gold,8431,4.5,8:08,1:19
131008,"August 20, 2026",sierra-gold,8432,4.0,8:03,1:13
130999,"August 20, 2026",sierra-gold,8433,3.2,8:27,1:23
131000,"August 20, 2026",sierra-gold,8472,4.3,8:34,1:40
131001,"August 20, 2026",sierra-gold,8475,5.1,8:33,1:56
131002,"August 20, 2026",sierra-gold,8480,3.9,8:25,1:35
131004,"August 20, 2026",sierra-gold,8631,4.1,8:33,1:39
131016,"August 20, 2026",sierra-gold,8632,4.6,7:48,1:23
131005,"August 20, 2026",sierra-gold,8633,4.0,8:30,1:34
130762,"August 19, 2026",sierra-gold,8431,5.5,8:09,1:37
130763,"August 19, 2026",sierra-gold,8432,6.3,8:37,1:58
130754,"August 19, 2026",sierra-gold,8433,3.1,8:34,1:32
130755,"August 19, 2026",sierra-gold,8472,3.2,8:29,1:27
130756,"August 19, 2026",sierra-gold,8475,4.0,8:27,1:35
130758,"August 19, 2026",sierra-gold,8480,3.1,8:35,1:27
130759,"August 19, 2026",sierra-gold,8631,3.2,8:34,1:23
130764,"August 19, 2026",sierra-gold,8632,5.5,8:32,1:41
